Bug #,Developer that fixed the Bug,LSI Given Relevant File,File Experts,Package Experts,System Experts,File Level,Package Level,System Level,Overall,Listed contacts of maintainers,File Level,Package Level,System Level,Overall,Liste of randomly selected developers from before the alpaha release,File Level,Package Level,System Level,Overall
124527,mecir,export\listeformat.h,,,rempt nikolaus zachmann jaham zander staniek fmerz berger girish villani,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,kotext\KoTextSelectionHandler.cpp,irish zander mkruisselbrink,girish zander ducroquet sebsauer roop staniek mkruisselbrink zachmann fmerz dfaure ,rempt nikolaus zachmann jaham zander staniek fmerz berger girish villani,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,export\listeformat.h,,,rempt nikolaus zachmann jaham zander staniek fmerz berger girish villani,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,odf\KoOdfNumberStyles.cpp,girish,girish fmerz nikolaus zachmann langkamp bcail jaham sengels ,rempt nikolaus zachmann jaham zander staniek fmerz berger girish villani,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,main\KoPageFormat.cpp,,jaham fmerz rempt staniek villani boemann langkamp nikolaus dfaure astan ,rempt nikolaus zachmann jaham zander staniek fmerz berger girish villani,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,kotext\KoTextSelectionHandler.cpp,girish zander mkruisselbrink ,girish zander ducroquet sebsauer roop staniek mkruisselbrink zachmann fmerz dfaure ,rempt nikolaus zachmann jaham zander staniek fmerz berger girish villani,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,wml\wmlparser.cpp,,,rempt nikolaus zachmann jaham zander staniek fmerz berger girish villani,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,kotext\KoTextSelectionHandler.cpp,girish zander mkruisselbrink ,girish zander ducroquet sebsauer roop staniek mkruisselbrink zachmann fmerz dfaure ,rempt nikolaus zachmann jaham zander staniek fmerz berger girish villani,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,dialogs\LayoutDialog.cpp,nikolaus,nikolaus zander girish rempt roop ducroquet sebsauer jaham mlaurent zachmann ,rempt nikolaus zachmann jaham zander staniek fmerz berger girish villani,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
124527,mecir,export\listeformat.h,,,rempt nikolaus zachmann jaham zander staniek fmerz berger girish villani,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,clicea sitter adrian sebsauer bjacob astan villani hdhoang zander ducroquet,0,0,0,0
125306,mkruisselbrink,calendar\CalendarToolFactory.cpp,nikolaus,nikolaus,rempt nikolaus zachmann jaham zander staniek fmerz berger girish villani,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,binner mlaurent ducroquet nlecureuil flambert bjacob bloos staniek sharan lunakl,0,0,0,0
