BUG #,Developer that fixed the Bug,LSI Given Relevant File,File Experts,Package Experts,System Experts,File Level,Package Level,System Level,Overall
5001,penyaskito,C:\ArgoUML\src\src\argouml-app\src\org\argouml\persistence\VersionException.java,tfmorris ,bobtarling tfmorris mvw linus thn euluis penyaskito maurelio1234 ,tfmorris mvw linus bobtarling mkl thn euluis maurelio1234 penyaskito andrea_nironi ,0,1,1,1
5001,penyaskito,C:\ArgoUML\src\src\argouml-core-diagrams-sequence2\src\org\argouml\uml\diagram\sequence2\ui\SelectionMessage.java,bobtarling penyaskito ,mvw tfmorris bobtarling linus penyaskito euluis mkl thn andrea_nironi maurelio1234 ,,1,1,0,1
5001,penyaskito,C:\ArgoUML\src\src\argouml-app\src\org\argouml\uml\ui\UMLLinkMouseListener.java, ,mvw tfmorris bobtarling linus penyaskito euluis mkl thn andrea_nironi maurelio1234 ,,0,1,0,1
5001,penyaskito,C:\ArgoUML\src\src\argouml-core-model\src\org\argouml\model\NotImplementedException.java,tfmorris ,tfmorris linus bobtarling mvw thn mkl ,tfmorris mvw linus bobtarling mkl thn euluis maurelio1234 penyaskito andrea_nironi ,0,0,1,1
5001,penyaskito,C:\ArgoUML\src\src\argouml-app\src\org\argouml\profile\ProfileException.java,tfmorris euluis ,euluis tfmorris maurelio1234 bobtarling mvw thn ,tfmorris mvw linus bobtarling mkl thn euluis maurelio1234 penyaskito andrea_nironi ,0,0,1,1
5001,penyaskito,C:\ArgoUML\src\src\argouml-core-model\src\org\argouml\model\InvalidElementException.java,tfmorris ,tfmorris linus bobtarling mvw thn mkl ,tfmorris mvw linus bobtarling mkl thn euluis maurelio1234 penyaskito andrea_nironi ,0,0,1,1
5001,penyaskito,C:\ArgoUML\src\src\argouml-app\src\org\argouml\persistence\SaveException.java,bobtarling tfmorris ,bobtarling tfmorris mvw linus thn euluis penyaskito maurelio1234 ,tfmorris mvw linus bobtarling mkl thn euluis maurelio1234 penyaskito andrea_nironi ,0,1,1,1
5001,penyaskito,C:\ArgoUML\src\src\argouml-app\src\org\argouml\persistence\PersistenceException.java,bobtarling linus ,bobtarling tfmorris mvw linus thn euluis penyaskito maurelio1234 ,tfmorris mvw linus bobtarling mkl thn euluis maurelio1234 penyaskito andrea_nironi ,0,1,1,1
5001,penyaskito,C:\ArgoUML\src\src\argouml-core-model\src\org\argouml\model\UmlException.java, ,tfmorris linus bobtarling mvw thn mkl ,tfmorris mvw linus bobtarling mkl thn euluis maurelio1234 penyaskito andrea_nironi ,0,0,1,1
5001,penyaskito,C:\ArgoUML\src\src\argouml-app\src\org\argouml\persistence\UmlVersionException.java,tfmorris ,bobtarling tfmorris mvw linus thn euluis penyaskito maurelio1234 ,tfmorris mvw linus bobtarling mkl thn euluis maurelio1234 penyaskito andrea_nironi ,0,1,1,1
5005,penyaskito,C:\ArgoUML\src\src\argouml-app\src\org\argouml\uml\diagram\ui\StylePanelFigMessage.java,tfmorris ,mvw tfmorris bobtarling linus penyaskito euluis mkl thn andrea_nironi maurelio1234 ,,0,1,0,1
5005,penyaskito,C:\ArgoUML\src\src\argouml-app\src\org\argouml\application\api\InitSubsystem.java,mvw tfmorris ,linus tfmorris mvw thn ,tfmorris mvw linus bobtarling mkl thn euluis maurelio1234 penyaskito andrea_nironi ,0,0,1,1
5005,penyaskito,C:\ArgoUML\src\src\argouml-app\src\org\argouml\uml\ui\behavior\common_behavior\PropPanelReturnAction.java, ,tfmorris mvw linus bobtarling mkl ,tfmorris mvw linus bobtarling mkl thn euluis maurelio1234 penyaskito andrea_nironi ,0,0,1,1
5005,penyaskito,C:\ArgoUML\src\src\argouml-core-model\src\org\argouml\model\Facade.java,tfmorris mvw bobtarling linus mkl ,tfmorris linus bobtarling mvw thn mkl ,tfmorris mvw linus bobtarling mkl thn euluis maurelio1234 penyaskito andrea_nironi ,0,0,1,1
5005,penyaskito,C:\ArgoUML\src\src\argouml-app\src\org\argouml\cognitive\Poster.java,andrea_nironi ,tfmorris linus mvw bobtarling andrea_nironi maurelio1234 thn penyaskito mkl ,tfmorris mvw linus bobtarling mkl thn euluis maurelio1234 penyaskito andrea_nironi ,0,1,1,1
