BUG #,Developer that fixed the Bug,LSI Given Relevant File,File Experts,Package Experts,System Experts,File Level,Package Level,System Level,Overall
226264,sbrandys,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\InternalWorkspaceJob.java,johna dj rchaves ,johna dj droberts sbrandys rchaves prapicau jeff rperetti ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,1,0,1
226264,sbrandys,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.core.resources\src\org\eclipse\core\resources\ResourcesPlugin.java,johna sbrandys prapicau dj jeff droberts ,johna dj droberts sbrandys rchaves prapicau jeff rperetti ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,1,1,0,1
226264,sbrandys,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.pde.ui\src\org\eclipse\pde\internal\ui\launcher\WorkspaceDataBlock.java,caniszczyk bbauman wmelhem janeklb ,caniszczyk wmelhem bbauman janeklb cwindatt ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
226264,sbrandys,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.core.resources\src\org\eclipse\core\resources\IWorkspaceDescription.java,johna sbrandys dj droberts ,johna dj droberts sbrandys rchaves prapicau jeff rperetti ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,1,1,0,1
226264,sbrandys,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.debug.core\core\org\eclipse\debug\core\model\Breakpoint.java,darin darins krbarnes lbourlier jburns droberts jszursze ,darin oliviert droberts darins jburns jszursze dmegert maeschli mkeller krbarnes ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
226264,sbrandys,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.ui.ide\src\org\eclipse\ui\internal\ide\actions\ToggleAutoBuildAction.java,tod mvanmeek dpollock ,darin darins jburns krbarnes droberts mrennie cwindatt khorne dpollock tod ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
226264,sbrandys,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\InternalTeamHook.java,johna dj ,johna dj droberts sbrandys rchaves prapicau jeff rperetti ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,1,0,1
226264,sbrandys,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\MarkerReader.java,johna sbrandys dj droberts ,johna dj droberts sbrandys rchaves prapicau jeff rperetti ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,1,1,0,1
226264,sbrandys,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.core.resources\src\org\eclipse\core\internal\resources\TestingSupport.java,johna dj droberts ,johna dj droberts sbrandys rchaves prapicau jeff rperetti ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,1,0,1
226264,sbrandys,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.ui.ide.application\src\org\eclipse\ui\internal\ide\application\IDEApplication.java,bbokowski khorne tod ,khorne tod bbokowski twatson ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
227826,mvalenta,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.ui.editors\src\org\eclipse\ui\editors\text\IEncodingSupport.java,dmegert kmaetzel droberts ,dmegert kmaetzel droberts dbaeumer maeschli tmaeder teicher ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
227826,mvalenta,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.core.resources\src\org\eclipse\core\resources\IEncodedStorage.java,johna dj rchaves ,johna dj droberts sbrandys rchaves prapicau jeff rperetti ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
227826,mvalenta,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.team.ui\src\org\eclipse\team\internal\ui\mapping\StorageStreamMerger.java,mvalenta ,mvalenta ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,1,1,0,1
227826,mvalenta,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.ui.ide\src\org\eclipse\ui\ide\dialogs\AbstractEncodingFieldEditor.java,dmegert pwebster khorne tod karice dpollock nick ,khorne dpollock tod karice pwebster dmegert droberts johna bbokowski kmaetzel ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
227826,mvalenta,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.ui.editors\src\org\eclipse\ui\editors\text\DefaultEncodingSupport.java,dmegert kmaetzel droberts ,dmegert kmaetzel droberts dbaeumer maeschli tmaeder teicher ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
227826,mvalenta,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.osgi\defaultAdaptor\src\org\eclipse\osgi\internal\baseadaptor\BundleUpdate.java,twatson ,twatson ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
227826,mvalenta,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.core.resources.win32\src\org\eclipse\core\internal\resources\refresh\win32\Convert.java,johna ,droberts carolyn veronika ggayed torres seven johna silenio steve chrix ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
227826,mvalenta,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.ui.editors\src\org\eclipse\ui\editors\text\IStorageDocumentProvider.java,dmegert kmaetzel droberts ,dmegert kmaetzel droberts dbaeumer maeschli tmaeder teicher ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
227826,mvalenta,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.osgi\defaultAdaptor\src\org\eclipse\osgi\internal\baseadaptor\BundleUninstall.java,twatson ,twatson ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
227826,mvalenta,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.core.resources\src\org\eclipse\core\resources\IStorage.java,johna dj droberts ,johna dj droberts sbrandys rchaves prapicau jeff rperetti ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,0,0
228109,pmulet,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.jdt.debug\jdi\org\eclipse\jdi\internal\spy\JdwpReplyPacket.java,darins lbourlier droberts ,droberts darins lbourlier ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,1,1
228109,pmulet,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\Clinit.java,oliviert pmulet ffusier jeromel mdaniel othomann ptff jlanneluc ,oliviert ffusier othomann jlanneluc pmulet ptff jeromel mdaniel daudel kent ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,1,1,1,1
228109,pmulet,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.jdt.debug\eval\org\eclipse\jdt\internal\debug\eval\ast\instructions\PushStaticFieldVariable.java,darin darins krbarnes jburns droberts ,droberts darins jburns darin krbarnes lbourlier ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,1,1
228109,pmulet,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\ParameterizedFieldBinding.java,oliviert kent ffusier pmulet ptff ,oliviert ffusier pmulet ptff othomann jlanneluc kent kjohnson jeromel mdaniel ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,1,1,1,1
228109,pmulet,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.jdt.debug\jdi\org\eclipse\jdi\internal\jdwp\JdwpReplyPacket.java,darin mrennie darins krbarnes jburns droberts ,darin droberts darins jburns krbarnes mrennie ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,1,1
228109,pmulet,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CompilationUnitProblemFinder.java,oliviert daudel pmulet ffusier jeromel othomann jlanneluc ptff kjohnson ,oliviert ffusier jeromel darin othomann jlanneluc pmulet darins daudel ptff ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,1,1,1,1
228109,pmulet,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.jdt.ui\core extension\org\eclipse\jdt\internal\corext\codemanipulation\GetterSetterUtil.java,dmegert mkeller maeschli bbaumgart twidmer dbaeumer akiezun droberts2 maeschlimann ,dmegert dbaeumer maeschli mkeller twidmer bbaumgart akiezun droberts2 maeschlimann ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,1,1
228109,pmulet,C:\eclipse-sourceBuild-srcIncluded-3.3.2\plugins\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\wizards\dialogfields\IDialogFieldListener.java,dmegert dbaeumer droberts maeschlimann cvs ,dmegert droberts dbaeumer maeschlimann cvs maeschli ,darin dmegert oliviert droberts ffusier darins othomann jlanneluc pmulet dbaeumer ,0,0,1,1
