step,action,action_type,documents,experiment,total_seconds
0,train,batch,655,release-file,647.0
1,infer,issues,40,release-file,0.0
2,infer,source,26,release-file,175.0
3,train,batch,2469,changeset-True-True-False-True,4311.0
4,infer,issues,40,changeset-True-True-False-True,0.0
5,infer,source,26,changeset-True-True-False-True,913.0
6,train,online,1923,temporal,2241.0
7,infer,issue,1,temporal,0.0
8,infer,source,18,temporal,840.0
9,train,online,27,temporal,148.0
10,infer,issue,1,temporal,1.0
11,infer,source,19,temporal,842.0
12,train,online,12,temporal,105.0
13,infer,issue,1,temporal,0.0
14,infer,source,20,temporal,848.0
15,train,online,1,temporal,97.0
16,infer,issue,1,temporal,0.0
17,infer,source,20,temporal,845.0
18,train,online,1,temporal,98.0
19,infer,issue,1,temporal,0.0
20,infer,source,20,temporal,849.0
21,train,online,2,temporal,98.0
22,infer,issue,1,temporal,0.0
23,infer,source,20,temporal,847.0
24,train,online,38,temporal,124.0
25,infer,issue,1,temporal,0.0
26,infer,source,20,temporal,854.0
27,train,online,100,temporal,170.0
28,infer,issue,1,temporal,1.0
29,infer,source,22,temporal,858.0
30,train,online,1,temporal,97.0
31,infer,issue,1,temporal,1.0
32,infer,source,22,temporal,858.0
33,train,online,1,temporal,97.0
34,infer,issue,1,temporal,0.0
35,infer,source,22,temporal,857.0
36,train,online,200,temporal,289.0
37,infer,issue,1,temporal,0.0
38,infer,source,22,temporal,886.0
39,train,online,1,temporal,98.0
40,infer,issue,1,temporal,1.0
41,infer,source,22,temporal,893.0
42,train,online,9,temporal,104.0
43,infer,issue,1,temporal,0.0
44,infer,source,22,temporal,894.0
45,train,online,1,temporal,97.0
46,infer,issue,1,temporal,0.0
47,infer,source,22,temporal,895.0
48,train,online,1,temporal,97.0
49,infer,issue,1,temporal,1.0
50,infer,source,22,temporal,894.0
51,train,online,1,temporal,98.0
52,infer,issue,1,temporal,0.0
53,infer,source,22,temporal,895.0
54,train,online,4,temporal,99.0
55,infer,issue,1,temporal,1.0
56,infer,source,22,temporal,894.0
57,train,online,1,temporal,99.0
58,infer,issue,1,temporal,0.0
59,infer,source,22,temporal,896.0
60,train,online,1,temporal,98.0
61,infer,issue,1,temporal,0.0
62,infer,source,22,temporal,902.0
63,train,online,5,temporal,103.0
64,infer,issue,1,temporal,0.0
65,infer,source,22,temporal,892.0
66,train,online,1,temporal,97.0
67,infer,issue,1,temporal,1.0
68,infer,source,22,temporal,899.0
69,train,online,1,temporal,97.0
70,infer,issue,1,temporal,0.0
71,infer,source,22,temporal,893.0
72,train,online,3,temporal,99.0
73,infer,issue,1,temporal,0.0
74,infer,source,22,temporal,899.0
75,train,online,2,temporal,99.0
76,infer,issue,1,temporal,0.0
77,infer,source,23,temporal,894.0
78,train,online,2,temporal,98.0
79,infer,issue,1,temporal,0.0
80,infer,source,23,temporal,899.0
81,train,online,1,temporal,97.0
82,infer,issue,1,temporal,0.0
83,infer,source,23,temporal,897.0
84,train,online,1,temporal,98.0
85,infer,issue,1,temporal,0.0
86,infer,source,23,temporal,899.0
87,train,online,1,temporal,97.0
88,infer,issue,1,temporal,0.0
89,infer,source,23,temporal,903.0
90,train,online,1,temporal,100.0
91,infer,issue,1,temporal,0.0
