step,action,action_type,documents,experiment,total_seconds
0,train,batch,520,release-file,211.0
1,infer,issues,359,release-file,1.0
2,infer,source,520,release-file,3.0
3,train,batch,1245,changeset-True-True-False-True,2203.0
4,infer,issues,359,changeset-True-True-False-True,1.0
5,infer,source,520,changeset-True-True-False-True,5.0
6,train,online,813,temporal,1648.0
7,infer,issue,1,temporal,0.0
8,infer,source,396,temporal,5.0
9,train,online,4,temporal,77.0
10,infer,issue,1,temporal,1.0
11,infer,source,399,temporal,4.0
12,train,online,2,temporal,76.0
13,infer,issue,1,temporal,1.0
14,infer,source,392,temporal,4.0
15,train,online,1,temporal,75.0
16,infer,issue,1,temporal,0.0
17,infer,source,392,temporal,5.0
18,train,online,1,temporal,74.0
19,infer,issue,1,temporal,1.0
20,infer,source,392,temporal,4.0
21,train,online,1,temporal,74.0
22,infer,issue,1,temporal,1.0
23,infer,source,392,temporal,4.0
24,train,online,1,temporal,75.0
25,infer,issue,1,temporal,1.0
26,infer,source,392,temporal,6.0
27,train,online,1,temporal,76.0
28,infer,issue,1,temporal,1.0
29,infer,source,392,temporal,5.0
30,train,online,1,temporal,75.0
31,infer,issue,1,temporal,1.0
32,infer,source,392,temporal,4.0
33,train,online,2,temporal,75.0
34,infer,issue,1,temporal,1.0
35,infer,source,394,temporal,4.0
36,infer,issue,1,temporal,1.0
37,infer,source,394,temporal,4.0
38,train,online,1,temporal,74.0
39,infer,issue,1,temporal,0.0
40,infer,source,394,temporal,5.0
41,train,online,1,temporal,74.0
42,infer,issue,1,temporal,0.0
43,infer,source,394,temporal,4.0
44,train,online,1,temporal,74.0
45,infer,issue,1,temporal,1.0
46,infer,source,394,temporal,4.0
47,train,online,1,temporal,74.0
48,infer,issue,1,temporal,1.0
49,infer,source,394,temporal,4.0
50,train,online,1,temporal,73.0
51,infer,issue,1,temporal,1.0
52,infer,source,394,temporal,4.0
53,train,online,1,temporal,74.0
54,infer,issue,1,temporal,1.0
55,infer,source,394,temporal,4.0
56,train,online,1,temporal,74.0
57,infer,issue,1,temporal,1.0
58,infer,source,394,temporal,4.0
59,train,online,1,temporal,74.0
60,infer,issue,1,temporal,1.0
61,infer,source,394,temporal,4.0
62,train,online,1,temporal,74.0
63,infer,issue,1,temporal,1.0
64,infer,source,394,temporal,4.0
65,train,online,2,temporal,76.0
66,infer,issue,1,temporal,0.0
67,infer,source,394,temporal,4.0
68,train,online,3,temporal,76.0
69,infer,issue,1,temporal,0.0
70,infer,source,394,temporal,4.0
71,train,online,1,temporal,75.0
72,infer,issue,1,temporal,1.0
73,infer,source,388,temporal,4.0
74,train,online,2,temporal,75.0
75,infer,issue,1,temporal,1.0
76,infer,source,388,temporal,4.0
77,train,online,1,temporal,74.0
78,infer,issue,1,temporal,1.0
79,infer,source,388,temporal,4.0
80,train,online,1,temporal,74.0
81,infer,issue,1,temporal,1.0
82,infer,source,388,temporal,4.0
83,train,online,3,temporal,76.0
84,infer,issue,1,temporal,1.0
85,infer,source,388,temporal,4.0
86,train,online,1,temporal,74.0
87,infer,issue,1,temporal,1.0
88,infer,source,388,temporal,4.0
89,train,online,1,temporal,74.0
90,infer,issue,1,temporal,1.0
91,infer,source,388,temporal,4.0
92,train,online,1,temporal,75.0
93,infer,issue,1,temporal,0.0
94,infer,source,388,temporal,5.0
95,train,online,1,temporal,75.0
96,infer,issue,1,temporal,1.0
97,infer,source,388,temporal,5.0
98,train,online,1,temporal,75.0
99,infer,issue,1,temporal,1.0
100,infer,source,388,temporal,4.0
101,train,online,3,temporal,76.0
102,infer,issue,1,temporal,1.0
103,infer,source,388,temporal,4.0
104,train,online,1,temporal,74.0
105,infer,issue,1,temporal,0.0
106,infer,source,387,temporal,5.0
107,train,online,1,temporal,73.0
108,infer,issue,1,temporal,1.0
109,infer,source,387,temporal,4.0
110,train,online,1,temporal,74.0
111,infer,issue,1,temporal,1.0
112,infer,source,388,temporal,4.0
113,train,online,1,temporal,74.0
114,infer,issue,1,temporal,1.0
115,infer,source,389,temporal,4.0
116,train,online,1,temporal,74.0
117,infer,issue,1,temporal,0.0
118,infer,source,389,temporal,5.0
119,infer,issue,1,temporal,0.0
120,infer,source,389,temporal,4.0
121,infer,issue,1,temporal,1.0
122,infer,source,389,temporal,4.0
123,train,online,2,temporal,75.0
124,infer,issue,1,temporal,1.0
125,infer,source,389,temporal,4.0
126,train,online,1,temporal,74.0
127,infer,issue,1,temporal,1.0
128,infer,source,390,temporal,4.0
129,train,online,2,temporal,75.0
130,infer,issue,1,temporal,1.0
131,infer,source,390,temporal,4.0
132,train,online,1,temporal,74.0
133,infer,issue,1,temporal,1.0
134,infer,source,390,temporal,4.0
135,train,online,1,temporal,74.0
136,infer,issue,1,temporal,1.0
137,infer,source,390,temporal,4.0
138,train,online,1,temporal,74.0
139,infer,issue,1,temporal,1.0
140,infer,source,390,temporal,4.0
141,train,online,1,temporal,74.0
142,infer,issue,1,temporal,1.0
143,infer,source,390,temporal,4.0
144,train,online,1,temporal,74.0
145,infer,issue,1,temporal,1.0
146,infer,source,390,temporal,4.0
147,train,online,1,temporal,74.0
148,infer,issue,1,temporal,1.0
149,infer,source,390,temporal,4.0
150,train,online,1,temporal,74.0
151,infer,issue,1,temporal,1.0
152,infer,source,390,temporal,4.0
153,train,online,1,temporal,75.0
154,infer,issue,1,temporal,0.0
155,infer,source,390,temporal,5.0
156,train,online,1,temporal,74.0
157,infer,issue,1,temporal,0.0
158,infer,source,390,temporal,5.0
159,train,online,1,temporal,74.0
160,infer,issue,1,temporal,1.0
161,infer,source,390,temporal,4.0
162,train,online,1,temporal,74.0
163,infer,issue,1,temporal,1.0
164,infer,source,389,temporal,4.0
165,train,online,1,temporal,75.0
166,infer,issue,1,temporal,1.0
167,infer,source,389,temporal,5.0
168,train,online,1,temporal,77.0
169,infer,issue,1,temporal,0.0
170,infer,source,391,temporal,6.0
171,train,online,1,temporal,75.0
172,infer,issue,1,temporal,0.0
173,infer,source,391,temporal,4.0
174,train,online,1,temporal,74.0
175,infer,issue,1,temporal,0.0
176,infer,source,391,temporal,5.0
177,train,online,1,temporal,74.0
178,infer,issue,1,temporal,0.0
179,infer,source,391,temporal,4.0
180,train,online,1,temporal,73.0
181,infer,issue,1,temporal,1.0
182,infer,source,391,temporal,4.0
183,train,online,1,temporal,74.0
184,infer,issue,1,temporal,1.0
185,infer,source,391,temporal,4.0
186,train,online,1,temporal,74.0
187,infer,issue,1,temporal,1.0
188,infer,source,391,temporal,4.0
189,train,online,1,temporal,74.0
190,infer,issue,1,temporal,0.0
191,infer,source,392,temporal,5.0
192,train,online,1,temporal,74.0
193,infer,issue,1,temporal,0.0
194,infer,source,392,temporal,5.0
195,train,online,1,temporal,74.0
196,infer,issue,1,temporal,0.0
197,infer,source,392,temporal,5.0
198,train,online,1,temporal,74.0
199,infer,issue,1,temporal,0.0
200,infer,source,392,temporal,5.0
201,train,online,1,temporal,74.0
202,infer,issue,1,temporal,0.0
203,infer,source,392,temporal,5.0
204,train,online,1,temporal,74.0
205,infer,issue,1,temporal,1.0
206,infer,source,392,temporal,4.0
207,train,online,1,temporal,75.0
208,infer,issue,1,temporal,0.0
209,infer,source,392,temporal,5.0
210,train,online,1,temporal,74.0
211,infer,issue,1,temporal,0.0
212,infer,source,392,temporal,4.0
213,train,online,1,temporal,74.0
214,infer,issue,1,temporal,0.0
215,infer,source,393,temporal,5.0
216,train,online,1,temporal,74.0
217,infer,issue,1,temporal,0.0
218,infer,source,393,temporal,5.0
219,train,online,1,temporal,74.0
220,infer,issue,1,temporal,1.0
221,infer,source,393,temporal,4.0
222,train,online,1,temporal,74.0
223,infer,issue,1,temporal,1.0
224,infer,source,393,temporal,4.0
225,train,online,1,temporal,75.0
226,infer,issue,1,temporal,1.0
227,infer,source,393,temporal,4.0
228,train,online,1,temporal,74.0
229,infer,issue,1,temporal,1.0
230,infer,source,393,temporal,4.0
231,train,online,1,temporal,75.0
232,infer,issue,1,temporal,0.0
233,infer,source,396,temporal,5.0
234,train,online,1,temporal,75.0
235,infer,issue,1,temporal,1.0
236,infer,source,396,temporal,6.0
237,train,online,1,temporal,75.0
238,infer,issue,1,temporal,1.0
239,infer,source,396,temporal,4.0
240,train,online,1,temporal,74.0
241,infer,issue,1,temporal,1.0
242,infer,source,396,temporal,4.0
243,train,online,1,temporal,75.0
244,infer,issue,1,temporal,1.0
245,infer,source,396,temporal,4.0
246,train,online,1,temporal,74.0
247,infer,issue,1,temporal,0.0
