step,action,action_type,documents,experiment,total_seconds
0,train,batch,520,release-file,555.0
1,infer,issues,359,release-file,1.0
2,infer,source,16,release-file,176.0
3,train,batch,1245,changeset-True-True-False-True,4887.0
4,infer,issues,359,changeset-True-True-False-True,2.0
5,infer,source,16,changeset-True-True-False-True,1348.0
6,train,online,813,temporal,1638.0
7,infer,issue,1,temporal,1.0
8,infer,source,11,temporal,1196.0
9,train,online,4,temporal,77.0
10,infer,issue,1,temporal,0.0
11,infer,source,11,temporal,1201.0
12,train,online,2,temporal,76.0
13,infer,issue,1,temporal,1.0
14,infer,source,11,temporal,1207.0
15,train,online,1,temporal,74.0
16,infer,issue,1,temporal,0.0
17,infer,source,11,temporal,1206.0
18,train,online,1,temporal,75.0
19,infer,issue,1,temporal,1.0
20,infer,source,11,temporal,1204.0
21,train,online,1,temporal,74.0
22,infer,issue,1,temporal,0.0
23,infer,source,11,temporal,1208.0
24,train,online,1,temporal,75.0
25,infer,issue,1,temporal,0.0
26,infer,source,11,temporal,1214.0
27,train,online,1,temporal,74.0
28,infer,issue,1,temporal,1.0
29,infer,source,11,temporal,1208.0
30,train,online,1,temporal,75.0
31,infer,issue,1,temporal,1.0
32,infer,source,11,temporal,1210.0
33,train,online,2,temporal,75.0
34,infer,issue,1,temporal,1.0
35,infer,source,11,temporal,1215.0
36,infer,issue,1,temporal,1.0
37,infer,source,11,temporal,1211.0
38,train,online,1,temporal,74.0
39,infer,issue,1,temporal,1.0
40,infer,source,11,temporal,1212.0
41,train,online,1,temporal,74.0
42,infer,issue,1,temporal,1.0
43,infer,source,11,temporal,1213.0
44,train,online,1,temporal,74.0
45,infer,issue,1,temporal,1.0
46,infer,source,11,temporal,1222.0
47,train,online,1,temporal,74.0
48,infer,issue,1,temporal,1.0
49,infer,source,11,temporal,1210.0
50,train,online,1,temporal,74.0
51,infer,issue,1,temporal,1.0
52,infer,source,11,temporal,1213.0
53,train,online,1,temporal,74.0
54,infer,issue,1,temporal,1.0
55,infer,source,11,temporal,1215.0
56,train,online,1,temporal,74.0
57,infer,issue,1,temporal,1.0
58,infer,source,11,temporal,1212.0
59,train,online,1,temporal,75.0
60,infer,issue,1,temporal,0.0
61,infer,source,11,temporal,1215.0
62,train,online,1,temporal,74.0
63,infer,issue,1,temporal,1.0
64,infer,source,11,temporal,1214.0
65,train,online,2,temporal,75.0
66,infer,issue,1,temporal,1.0
67,infer,source,11,temporal,1222.0
68,train,online,3,temporal,76.0
69,infer,issue,1,temporal,0.0
70,infer,source,11,temporal,1214.0
71,train,online,1,temporal,75.0
72,infer,issue,1,temporal,0.0
73,infer,source,11,temporal,1218.0
74,train,online,2,temporal,75.0
75,infer,issue,1,temporal,1.0
76,infer,source,11,temporal,1223.0
77,train,online,1,temporal,74.0
78,infer,issue,1,temporal,1.0
79,infer,source,11,temporal,1222.0
80,train,online,1,temporal,76.0
81,infer,issue,1,temporal,0.0
82,infer,source,11,temporal,1224.0
83,train,online,3,temporal,76.0
84,infer,issue,1,temporal,1.0
85,infer,source,11,temporal,1226.0
86,train,online,1,temporal,74.0
87,infer,issue,1,temporal,0.0
88,infer,source,11,temporal,1228.0
89,train,online,1,temporal,74.0
90,infer,issue,1,temporal,1.0
91,infer,source,11,temporal,1223.0
92,train,online,1,temporal,74.0
93,infer,issue,1,temporal,0.0
94,infer,source,11,temporal,1226.0
95,train,online,1,temporal,74.0
96,infer,issue,1,temporal,1.0
97,infer,source,11,temporal,1231.0
98,train,online,1,temporal,74.0
99,infer,issue,1,temporal,1.0
100,infer,source,11,temporal,1236.0
101,train,online,3,temporal,76.0
102,infer,issue,1,temporal,1.0
103,infer,source,11,temporal,1222.0
104,train,online,1,temporal,75.0
