metadata,unique_words,total_words
org.apache.mahout.cf.taste.example.bookcrossing.BookCrossingDataModelBuilder.buildDataModel(FastByIDMap<PreferenceArray>),10,23
org.apache.mahout.cf.taste.example.bookcrossing.BookCrossingBooleanRecommenderEvaluatorRunner.BookCrossingBooleanRecommenderEvaluatorRunner(),5,5
org.apache.mahout.cf.taste.example.bookcrossing.BookCrossingBooleanRecommenderEvaluatorRunner.main(String),26,60
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.KDDCupFactorizablePreferences(File),6,11
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.getUserIDs(),7,8
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.getItemIDs(),7,8
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.getPreferences(),14,26
"org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.getPreferences().$1.apply(Pair<PreferenceArray,long[]>)",5,6
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.getMinPreference(),2,2
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.getMaxPreference(),2,2
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.numUsers(),2,2
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.numItems(),2,2
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.numPreferences(),2,2
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.FixedSizeLongIterator.FixedSizeLongIterator(long),6,8
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.FixedSizeLongIterator.nextLong(),2,2
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.FixedSizeLongIterator.peek(),3,3
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.FixedSizeLongIterator.skip(int),3,3
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.FixedSizeLongIterator.hasNext(),3,3
org.apache.mahout.cf.taste.example.kddcup.track1.svd.KDDCupFactorizablePreferences.FixedSizeLongIterator.remove(),4,4
"org.apache.mahout.cf.taste.example.email.MailToDictionaryReducer.reduce(Text,Iterable<VarIntWritable>,Context)",13,26
"org.apache.mahout.cf.taste.example.email.MsgIdToDictionaryMapper.map(Text,Text,Context)",36,70
org.apache.mahout.cf.taste.example.email.EmailUtility.EmailUtility(),2,2
org.apache.mahout.cf.taste.example.email.EmailUtility.cleanUpEmailAddress(CharSequence),23,37
"org.apache.mahout.cf.taste.example.email.EmailUtility.loadDictionaries(Configuration,String,OpenObjectIntHashMap<String>,String,OpenObjectIntHashMap<String>)",31,86
org.apache.mahout.cf.taste.example.email.EmailUtility.parseReferences(CharSequence),16,31
org.apache.mahout.clustering.display.ClustersFilter.accept(Path),5,12
"org.apache.mahout.cf.taste.example.kddcup.track1.Track1Callable.Track1Callable(Recommender,PreferenceArray)",7,14
org.apache.mahout.cf.taste.example.kddcup.track1.Track1Callable.call(),30,58
org.apache.mahout.cf.taste.example.kddcup.track2.TrackData.TrackData(CharSequence),17,33
org.apache.mahout.cf.taste.example.kddcup.track2.TrackData.parse(String),4,9
org.apache.mahout.cf.taste.example.kddcup.track2.TrackData.getTrackID(),1,2
org.apache.mahout.cf.taste.example.kddcup.track2.TrackData.getAlbumID(),1,2
org.apache.mahout.cf.taste.example.kddcup.track2.TrackData.getArtistID(),1,2
org.apache.mahout.cf.taste.example.kddcup.track2.TrackData.getGenreIDs(),3,4
org.apache.mahout.cf.taste.similarity.precompute.example.BatchItemSimilaritiesGroupLens.BatchItemSimilaritiesGroupLens(),4,4
org.apache.mahout.cf.taste.similarity.precompute.example.BatchItemSimilaritiesGroupLens.main(String[]),47,98
